id; similarity
40; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
41; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
42; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
43; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
44; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
45; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
46; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
47; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
48; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
49; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
50; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
51; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
52; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
53; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
54; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
55; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
56; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily., Contains 2 ABC transmembrane type-2 domains., Contains 2 ABC transporter domains.
57; Belongs to the ABC transporter superfamily. ABCG family. Eye pigment precursor importer (TC 3.A.1.204) subfamily., Contains 1 ABC transmembrane type-2 domain., Contains 1 ABC transporter domain.
58; Belongs to the cytochrome P450 family.
59; Belongs to the cytochrome P450 family.
60; Belongs to the cytochrome P450 family.
61; Belongs to the AP2/ERF transcription factor family. ERF subfamily., Contains 1 AP2/ERF DNA-binding domain.
62; Belongs to the ABI family.
63; Belongs to the ABI family.
64; Belongs to the ABI family.
65; Belongs to the ABI family.
66; Belongs to the ABI family.
67; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IIB subfamily.
68; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IIB subfamily.
69; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IIB subfamily.
70; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IIB subfamily.
71; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IIB subfamily.
72; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IIB subfamily.
73; Contains 1 ATP-grasp domain., Contains 1 biotin carboxylation domain., Contains 1 biotinyl-binding domain., Contains 1 carboxyltransferase domain.
74; Belongs to the terpene cyclase/mutase family., Contains 2 PFTB repeats.
75; Contains 1 ATP-grasp domain., Contains 1 biotin carboxylation domain., Contains 1 biotinyl-binding domain., Contains 1 carboxyltransferase domain.
76; Belongs to the AccD/PCCB family.
77; Belongs to the iron/ascorbate-dependent oxidoreductase family., Contains 1 Fe2OG dioxygenase domain.
78; Belongs to the isocitrate lyase/PEP mutase superfamily. Isocitrate lyase family.
79; Contains 1 cytochrome b561 domain.
80; Contains 1 cytochrome b561 domain.
81; Belongs to the succinate/malate CoA ligase beta subunit family.
82; Belongs to the succinate/malate CoA ligase beta subunit family.
83; Belongs to the succinate/malate CoA ligase beta subunit family.
84; Belongs to the succinate/malate CoA ligase alpha subunit family.
85; Belongs to the aconitase/IPM isomerase family.
86; Contains 1 rhodanese domain.
87; Contains 1 rhodanese domain.
88; Belongs to the actin family.
89; Belongs to the actin family.
90; Belongs to the actin family.
91; Belongs to the actin family.
92; Belongs to the Orn/Lys/Arg decarboxylase class-II family. SpeA subfamily.
93; In the C-terminal section; belongs to the anthranilate synthase component I family., Contains 1 glutamine amidotransferase type-1 domain.
94; Belongs to the actin-binding proteins ADF family., Contains 1 ADF-H domain.
95; Belongs to the actin-binding proteins ADF family., Contains 1 ADF-H domain.
96; Belongs to the actin-binding proteins ADF family., Contains 1 ADF-H domain.
97; Belongs to the actin-binding proteins ADF family., Contains 1 ADF-H domain.
98; Belongs to the actin-binding proteins ADF family., Contains 1 ADF-H domain.
99; Belongs to the actin-binding proteins ADF family., Contains 1 ADF-H domain.
100; Belongs to the actin-binding proteins ADF family., Contains 1 ADF-H domain.
101; Belongs to the actin-binding proteins ADF family., Contains 1 ADF-H domain.
102; Belongs to the actin-binding proteins ADF family., Contains 1 ADF-H domain.
103; Belongs to the actin-binding proteins ADF family., Contains 1 ADF-H domain.
104; Belongs to the actin-binding proteins ADF family., Contains 1 ADF-H domain.
105; Belongs to the zinc-containing alcohol dehydrogenase family.
106; Belongs to the zinc-containing alcohol dehydrogenase family.
107; Belongs to the zinc-containing alcohol dehydrogenase family. Class-III subfamily.
108; Belongs to the ADAGIO family., Contains 1 F-box domain., Contains 4 Kelch repeats., Contains 1 PAS (PER-ARNT-SIM) domain.
109; Belongs to the ADAGIO family., Contains 1 F-box domain., Contains 4 Kelch repeats., Contains 1 PAS (PER-ARNT-SIM) domain.
110; Belongs to the ADAGIO family., Contains 1 F-box domain., Contains 5 Kelch repeats., Contains 1 PAS (PER-ARNT-SIM) domain.
111; Belongs to the ADIPOR family.
112; Belongs to the ADIPOR family.
113; Belongs to the ADIPOR family.
114; Belongs to the ADPRibase-Mn family.
115; Belongs to the mitochondrial carrier (TC 2.A.29) family., Contains 3 Solcar repeats.
116; Belongs to the glycosyl hydrolase 27 family.
117; Contains 4 chitin-binding type-1 domains.
118; Belongs to the glycosyl hydrolase 31 family.
119; Belongs to the phosphohexose mutase family.
120; Belongs to the argonaute family. Ago subfamily., Contains 1 PAZ domain., Contains 1 Piwi domain.
121; Belongs to the argonaute family. Ago subfamily., Contains 1 PAZ domain., Contains 1 Piwi domain.
122; Belongs to the argonaute family. Ago subfamily., Contains 1 PAZ domain., Contains 1 Piwi domain.
123; Belongs to the argonaute family. Ago subfamily., Contains 1 PAZ domain., Contains 1 Piwi domain.
124; Belongs to the argonaute family. Ago subfamily., Contains 1 PAZ domain., Contains 1 Piwi domain.
125; Belongs to the argonaute family. Ago subfamily., Contains 1 PAZ domain., Contains 1 Piwi domain.
126; Belongs to the argonaute family. Ago subfamily., Contains 1 PAZ domain., Contains 1 Piwi domain.
127; Belongs to the argonaute family. Ago subfamily., Contains 1 PAZ domain., Contains 1 Piwi domain.
128; Belongs to the argonaute family. Ago subfamily., Contains 1 PAZ domain., Contains 1 Piwi domain.
129; Belongs to the argonaute family. Ago subfamily., Contains 1 PAZ domain., Contains 1 Piwi domain.
130; Belongs to the argonaute family. Ago subfamily., Contains 1 PAZ domain., Contains 1 Piwi domain.
131; Belongs to the argonaute family. Ago subfamily., Contains 1 PAZ domain., Contains 1 Piwi domain.
132; Belongs to the argonaute family. Ago subfamily., Contains 1 PAZ domain., Contains 1 Piwi domain.
133; Belongs to the argonaute family. Ago subfamily., Contains 1 PAZ domain., Contains 1 Piwi domain.
134; Belongs to the argonaute family. Ago subfamily., Contains 1 PAZ domain., Contains 1 Piwi domain.
135; Belongs to the argonaute family. Ago subfamily., Contains 1 PAZ domain., Contains 1 Piwi domain.
136; Belongs to the argonaute family. Ago subfamily., Contains 1 PAZ domain., Contains 1 Piwi domain.
137; Belongs to the classical AGP family.
138; Belongs to the carbon-nitrogen hydrolase superfamily., Contains 1 CN hydrolase domain.
139; Belongs to the aldo/keto reductase family.
140; Belongs to the aldo/keto reductase family.
141; Belongs to the aldo/keto reductase family.
142; Belongs to the potassium channel family. Plant (TC 1.A.1.4) subfamily., Contains 6 ANK repeats., Contains 1 cyclic nucleotide-binding domain., Contains 1 KHA domain.
143; Belongs to the potassium channel family. Plant (TC 1.A.1.4) subfamily., Contains 5 ANK repeats., Contains 1 cyclic nucleotide-binding domain., Contains 1 KHA domain.
144; Belongs to the potassium channel family. Plant (TC 1.A.1.4) subfamily., Contains 5 ANK repeats., Contains 1 cyclic nucleotide-binding domain., Contains 1 KHA domain.
145; Belongs to the class-I pyridoxal-phosphate-dependent aminotransferase family. LL-diaminopimelate aminotransferase subfamily.
146; Belongs to the xanthine dehydrogenase family., Contains 1 2Fe-2S ferredoxin-type domain., Contains 1 FAD-binding PCMH-type domain.
147; Belongs to the xanthine dehydrogenase family., Contains 1 2Fe-2S ferredoxin-type domain., Contains 1 FAD-binding PCMH-type domain.
148; Belongs to the xanthine dehydrogenase family., Contains 1 2Fe-2S ferredoxin-type domain., Contains 1 FAD-binding PCMH-type domain.
149; Belongs to the xanthine dehydrogenase family., Contains 1 2Fe-2S ferredoxin-type domain., Contains 1 FAD-binding PCMH-type domain.
150; Belongs to the xanthine dehydrogenase family., Contains 1 FAD-binding PCMH-type domain.
151; Belongs to the class I fructose-bisphosphate aldolase family.
152; Belongs to the Alfin family., Contains 1 PHD-type zinc finger.
153; Belongs to the Alfin family., Contains 1 PHD-type zinc finger.
154; Belongs to the Alfin family., Contains 1 PHD-type zinc finger.
155; Belongs to the Alfin family., Contains 1 PHD-type zinc finger.
156; Belongs to the Alfin family., Contains 1 PHD-type zinc finger.
157; Belongs to the Alfin family., Contains 1 PHD-type zinc finger.
158; Belongs to the Alfin family., Contains 1 PHD-type zinc finger.
159; Belongs to the Alfin family., Contains 1 PHD-type zinc finger.
160; Belongs to the Alfin family., Contains 1 PHD-type zinc finger.
161; Belongs to the class I fructose-bisphosphate aldolase family.
162; Belongs to the DHOase family. Allantoinase subfamily.
163; Belongs to the adenosine and AMP deaminases family.
164; Belongs to the peptidase M17 family.
165; Belongs to the peptidase M17 family.
166; Belongs to the ammonia transporter channel (TC 1.A.11.2) family.
167; Belongs to the ammonia transporter channel (TC 1.A.11.2) family.
168; Belongs to the ammonia transporter channel (TC 1.A.11.2) family.
169; Belongs to the ammonia transporter channel (TC 1.A.11.2) family.
170; Belongs to the ammonia transporter channel (TC 1.A.11.2) family.
171; Belongs to the ammonia transporter channel (TC 1.A.11.2) family.
172; Belongs to the ammonia transporter channel (TC 1.A.11.2) family.
173; Belongs to the ammonia transporter channel (TC 1.A.11.2) family.
174; Belongs to the ammonia transporter channel (TC 1.A.11.2) family.
175; Belongs to the ammonia transporter channel (TC 1.A.11.2) family.
176; Belongs to the glycosyl hydrolase 13 family.
177; Belongs to the glycosyl hydrolase 13 family.
178; Belongs to the glycosyl hydrolase 13 family.
179; Belongs to the glycosyl hydrolase 13 family.
180; Belongs to the glycosyl hydrolase 13 family.
181; Belongs to the glycosyl hydrolase 13 family.
182; Belongs to the glycosyl hydrolase 13 family.
183; Belongs to the glycosyl hydrolase 13 family.
184; Belongs to the ANP32 family., Contains 3 LRR (leucine-rich) repeats., Contains 1 LRRCT domain.
185; Belongs to the ANP32 family., Contains 3 LRR (leucine-rich) repeats., Contains 1 LRRCT domain.
186; Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N-methyltransferase family., Contains 1 SAM-dependent MTase PRMT-type domain.
187; Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N-methyltransferase family., Contains 2 C2H2-type zinc fingers., Contains 1 SAM-dependent MTase PRMT-type domain.
188; Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N-methyltransferase family., Contains 1 SAM-dependent MTase PRMT-type domain.
189; Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N-methyltransferase family. PRMT6 subfamily., Contains 1 SAM-dependent MTase PRMT-type domain.
190; Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N-methyltransferase family. PRMT6 subfamily., Contains 1 SAM-dependent MTase PRMT-type domain.
191; Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N-methyltransferase family., Contains 1 SAM-dependent MTase PRMT-type domain.
192; Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N-methyltransferase family. PRMT7 subfamily., Contains 2 SAM-dependent MTase PRMT-type domains.
193; Belongs to the AG-peptide AGP family.
194; Belongs to the AG-peptide AGP family.
195; Belongs to the AG-peptide AGP family.
196; Contains 1 bHLH (basic helix-loop-helix) domain.
197; Belongs to the peptidase M1 family.
198; Belongs to the peptidase M1 family.
199; Belongs to the peptidase M1 family.
200; Belongs to the peptidase M1 family.
201; Belongs to the APS reductase family., Contains 1 thioredoxin domain.
202; Contains 1 thioredoxin domain.
203; Contains 1 thioredoxin domain.
204; Contains 1 thioredoxin domain.
205; Contains 1 thioredoxin domain.
206; Contains 1 thioredoxin domain.
207; Belongs to the peroxidase family. Ascorbate peroxidase subfamily.
208; Belongs to the peroxidase family. Ascorbate peroxidase subfamily.
209; Belongs to the peroxidase family. Ascorbate peroxidase subfamily.
210; Belongs to the peroxidase family. Ascorbate peroxidase subfamily.
211; Belongs to the peroxidase family. Ascorbate peroxidase subfamily.
212; Belongs to the peroxidase family. Ascorbate peroxidase subfamily.
213; Belongs to the peroxidase family. Ascorbate peroxidase subfamily.
214; Belongs to the GDA1/CD39 NTPase family.
215; Belongs to the peroxidase family. Ascorbate peroxidase subfamily.
216; Belongs to the GDA1/CD39 NTPase family.
217; Belongs to the GDA1/CD39 NTPase family.
218; Belongs to the NAD(P)-dependent epimerase/dehydratase family.
219; Belongs to the NAD(P)-dependent epimerase/dehydratase family.
220; Belongs to the NAD(P)-dependent epimerase/dehydratase family.
221; Belongs to the small GTPase superfamily. Arf family.
222; Belongs to the small GTPase superfamily. Arf family.
223; Belongs to the ARF family., Contains 1 TF-B3 DNA-binding domain.
224; Belongs to the ARF family., Contains 1 TF-B3 DNA-binding domain.
225; Belongs to the ARF family., Contains 1 PB1 domain., Contains 1 TF-B3 DNA-binding domain.
226; Belongs to the ARF family., Contains 1 PB1 domain., Contains 1 TF-B3 DNA-binding domain.
227; Belongs to the ARF family., Contains 1 PB1 domain., Contains 1 TF-B3 DNA-binding domain.
228; Belongs to the ARF family., Contains 1 PB1 domain., Contains 1 TF-B3 DNA-binding domain.
229; Belongs to the ARF family., Contains 1 PB1 domain., Contains 1 TF-B3 DNA-binding domain.
230; Belongs to the ARF family., Contains 1 PB1 domain., Contains 1 TF-B3 DNA-binding domain.
231; Belongs to the ARF family., Contains 1 PB1 domain., Contains 1 TF-B3 DNA-binding domain.
232; Belongs to the ARF family., Contains 1 PB1 domain., Contains 1 TF-B3 DNA-binding domain.
233; Belongs to the ARF family., Contains 1 TF-B3 DNA-binding domain.
234; Belongs to the ARF family., Contains 1 TF-B3 DNA-binding domain.
235; Belongs to the ARF family., Contains 1 PB1 domain., Contains 1 TF-B3 DNA-binding domain.
236; Belongs to the ARF family., Contains 1 TF-B3 DNA-binding domain.
237; Belongs to the ARF family., Contains 1 PB1 domain., Contains 1 TF-B3 DNA-binding domain.
238; Belongs to the ARF family., Contains 1 PB1 domain., Contains 1 TF-B3 DNA-binding domain.
239; Belongs to the ARF family., Contains 1 PB1 domain., Contains 1 TF-B3 DNA-binding domain.
240; Belongs to the ARF family., Contains 1 PB1 domain., Contains 1 TF-B3 DNA-binding domain.
241; Belongs to the ARF family., Contains 1 PB1 domain., Contains 1 TF-B3 DNA-binding domain.
242; Belongs to the ARF family., Contains 1 PB1 domain., Contains 1 TF-B3 DNA-binding domain.
243; Belongs to the ARF family., Contains 1 PB1 domain., Contains 1 TF-B3 DNA-binding domain.
244; Belongs to the ARF family., Contains 1 TF-B3 DNA-binding domain.
245; Belongs to the ARF family., Contains 1 PB1 domain., Contains 1 TF-B3 DNA-binding domain.
246; Belongs to the ARF family., Contains 1 PB1 domain., Contains 1 TF-B3 DNA-binding domain.
247; Belongs to the ARF family., Contains 1 PB1 domain., Contains 1 TF-B3 DNA-binding domain.
248; Belongs to the NAGSA dehydrogenase family. Type 1 subfamily.
249; Belongs to the arginase family.
250; Belongs to the ArgJ family.
251; Belongs to the plant organ size related (OSR) protein family.
252; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family., Contains 4 ARM repeats., Contains 1 kinesin motor domain.
253; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family., Contains 4 ARM repeats., Contains 1 kinesin motor domain.
254; Belongs to the class-II DAHP synthase family.
255; Belongs to the class-II DAHP synthase family.
256; Belongs to the actin family. ARP2 subfamily.
257; Belongs to the actin family. ARP3 subfamily.
258; Belongs to the actin family. ARP4 subfamily.
259; Belongs to the actin family. ARP5 subfamily.
260; Belongs to the actin family. Plant ARP7 subfamily.
261; Belongs to the actin family. ARP6 subfamily.
262; Belongs to the actin family. Plant ARP8 subfamily., Contains 1 F-box domain.
263; Belongs to the actin family. ARP8 subfamily.
264; Contains 4 C2H2-type zinc fingers.
265; Belongs to the anthranilate synthase component I family.
266; Belongs to the anthranilate synthase component I family.
267; Contains 1 glutamine amidotransferase type-1 domain.
268; Contains 1 glutamine amidotransferase type-1 domain.
269; Contains 1 TLC (TRAM/LAG1/CLN8) domain.
270; Contains 1 TLC (TRAM/LAG1/CLN8) domain.
271; Contains 1 TLC (TRAM/LAG1/CLN8) domain.
272; Contains 1 asparagine synthetase domain., Contains 1 glutamine amidotransferase type-2 domain.
273; Contains 1 asparagine synthetase domain., Contains 1 glutamine amidotransferase type-2 domain.
274; Belongs to the peptidase A1 family., Contains 1 peptidase A1 domain.
275; Belongs to the peptidase A1 family., Contains 1 peptidase A1 domain., Contains 1 saposin B-type domain.
276; Belongs to the peptidase A1 family., Contains 1 peptidase A1 domain., Contains 1 saposin B-type domain.
277; Belongs to the ATG12 family.
278; Belongs to the peptidase C54 family.
279; Belongs to the peptidase C54 family.
280; Belongs to the ATG5 family.
281; Belongs to the ATG8 family.
282; Belongs to the ATG8 family.
283; Belongs to the ATG8 family.
284; Belongs to the ATG8 family.
285; Belongs to the ATG8 family.
286; Contains 1 RING-type zinc finger.
287; Contains 1 RING-type zinc finger.
288; Contains 1 RING-type zinc finger.
289; Belongs to the ATPase C chain family.
290; Belongs to the ATPase alpha/beta chains family.
291; Belongs to the ATPase alpha/beta chains family.
292; Belongs to the ATPase alpha/beta chains family.
293; Belongs to the ATPase alpha/beta chains family.
294; Belongs to the ATPase epsilon chain family.
295; Belongs to the ATPase B chain family.
296; Belongs to the ATPase C chain family.
297; Belongs to the ATPase A chain family.
298; Belongs to the PI3/PI4-kinase family. ATM subfamily., Contains 1 FAT domain., Contains 1 FATC domain., Contains 1 PI3K/PI4K domain.
299; Contains 1 Josephin domain., Contains 1 UIM (ubiquitin-interacting motif) domain.
300; Belongs to the NAD(P)-dependent epimerase/dehydratase family.
301; Belongs to the aldehyde dehydrogenase family.
302; Belongs to the aldehyde dehydrogenase family.
303; Belongs to the RING-type zinc finger family., Contains 1 RING-type zinc finger., Contains 1 SPX domain.
304; Belongs to the RING-type zinc finger family., Contains 1 RING-type zinc finger., Contains 1 SPX domain.
305; Belongs to the AhpC/TSA family., Contains 1 thioredoxin domain.
306; Belongs to the bile acid:sodium symporter (BASS) (TC 2.A.28) family.
307; Belongs to the bile acid:sodium symporter (BASS) (TC 2.A.28) family.
308; Belongs to the bile acid:sodium symporter (BASS) (TC 2.A.28) family.
309; Belongs to the bile acid:sodium symporter (BASS) (TC 2.A.28) family.
310; Belongs to the bile acid:sodium symporter (BASS) (TC 2.A.28) family.
311; Belongs to the amino acid-polyamine-organocation (APC) superfamily. Amino acid/choline transporter (ACT) (TC 2.A.3.4) family.
312; Belongs to the bifunctional nuclease family., Contains 1 BFN domain., Contains 1 UVR domain.
313; Belongs to the bifunctional nuclease family., Contains 1 BFN domain., Contains 1 UVR domain.
314; Belongs to the BBR/BPC family.
315; Belongs to the BBR/BPC family.
316; Belongs to the BBR/BPC family.
317; Belongs to the BBR/BPC family.
318; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family., Contains 1 kinesin motor domain.
319; Belongs to the BUD31 (G10) family.
320; Belongs to the BUD31 (G10) family.
321; Belongs to the BUD31 (G10) family.
322; Belongs to the glycosyl hydrolase 35 family., Contains 1 SUEL-type lectin domain.
323; Belongs to the glycosyl hydrolase 35 family., Contains 1 SUEL-type lectin domain.
324; Belongs to the BIG GRAIN 1 (BG1) plant protein family.
325; Belongs to the glycosyl hydrolase 35 family., Contains 1 SUEL-type lectin domain.
326; Belongs to the glycosyl hydrolase 35 family., Contains 1 SUEL-type lectin domain.
327; Belongs to the glycosyl hydrolase 35 family., Contains 1 SUEL-type lectin domain.
328; Belongs to the glycosyl hydrolase 35 family., Contains 1 SUEL-type lectin domain.
329; Belongs to the glycosyl hydrolase 35 family., Contains 1 SUEL-type lectin domain.
330; Belongs to the glycosyl hydrolase 35 family., Contains 1 SUEL-type lectin domain.
331; Belongs to the glycosyl hydrolase 35 family., Contains 1 SUEL-type lectin domain.
332; Belongs to the glycosyl hydrolase 35 family.
333; Belongs to the glycosyl hydrolase 35 family., Contains 1 SUEL-type lectin domain.
334; Belongs to the glycosyl hydrolase 35 family.
335; Belongs to the glycosyl hydrolase 35 family.
336; Belongs to the glycosyl hydrolase 35 family., Contains 1 SUEL-type lectin domain.
337; Belongs to the glycosyl hydrolase 35 family., Contains 1 SUEL-type lectin domain.
338; Belongs to the glycosyl hydrolase 1 family.
339; Belongs to the glycosyl hydrolase 1 family.
340; Belongs to the glycosyl hydrolase 1 family.
341; Belongs to the glycosyl hydrolase 1 family.
342; Belongs to the glycosyl hydrolase 1 family.
343; Belongs to the glycosyl hydrolase 1 family.
344; Belongs to the glycosyl hydrolase 1 family.
345; Belongs to the glycosyl hydrolase 1 family.
346; Belongs to the glycosyl hydrolase 1 family.
347; Belongs to the glycosyl hydrolase 1 family.
348; Belongs to the glycosyl hydrolase 1 family.
349; Belongs to the glycosyl hydrolase 1 family.
350; Belongs to the glycosyl hydrolase 1 family.
351; Belongs to the glycosyl hydrolase 1 family.
352; Belongs to the glycosyl hydrolase 1 family.
353; Belongs to the glycosyl hydrolase 1 family.
354; Belongs to the glycosyl hydrolase 1 family.
355; Belongs to the glycosyl hydrolase 1 family.
356; Belongs to the glycosyl hydrolase 1 family.
357; Belongs to the glycosyl hydrolase 1 family.
358; Belongs to the glycosyl hydrolase 1 family.
359; Belongs to the glycosyl hydrolase 1 family.
360; Belongs to the glycosyl hydrolase 1 family.
361; Belongs to the glycosyl hydrolase 1 family.
362; Belongs to the glycosyl hydrolase 1 family.
363; Belongs to the glycosyl hydrolase 1 family.
364; Belongs to the glycosyl hydrolase 1 family.
365; Belongs to the glycosyl hydrolase 1 family.
366; Belongs to the glycosyl hydrolase 1 family.
367; Belongs to the glycosyl hydrolase 1 family.
368; Belongs to the glycosyl hydrolase 1 family.
369; Belongs to the glycosyl hydrolase 1 family.
370; Belongs to the glycosyl hydrolase 1 family.
371; Belongs to the glycosyl hydrolase 1 family.
372; Belongs to the glycosyl hydrolase 1 family.
373; Belongs to the glycosyl hydrolase 1 family.
374; Belongs to the BI1 family.
375; Belongs to the BIG GRAIN 1 (BG1) plant protein family.
376; Belongs to the UBR4 family., Contains 1 MYND-type zinc finger., Contains 1 UBR-type zinc finger., Contains 1 ZZ-type zinc finger.
377; In the N-terminal section; belongs to the dethiobiotin synthetase family., In the C-terminal section; belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family. BioA subfamily.
378; Belongs to the PP2C family., Contains 1 PPM-type phosphatase domain.
379; None
380; Belongs to the Casparian strip membrane proteins (CASP) family.
381; None
382; Belongs to the class I-like SAM-binding methyltransferase superfamily. MPBQ/MBSQ MT family.
